Provider_Number,FY_2014_Readmissions ,Number_of_Pneumonia_Cases,Excess_Readmission_Ratio_Pneumonia,No_of_Heart_Failure_Cases,Excess_Readmission_Ratio_Heart_Failure,No_Acute_Myocardial_Infarction_Cases,Acute_Myocardial_Infarction
110190,1.0000,57,0.977460,52,0.988090,8,0.000000
110191,0.9973,285,0.928972,556,1.069268,92,0.990942
110192,0.9996,372,1.009136,425,0.992666,95,1.012972
110194,1.0000,183,0.988001,42,0.956183,2,0.000000
110198,0.9995,354,0.964046,290,1.016604,54,0.953578
110200,1.0000,0,0.000000,2,0.000000,0,0.000000
110201,0.9995,127,1.021127,129,0.970368,4,0.000000
110203,1.0000,105,0.938365,59,1.000838,4,0.000000
110205,0.9957,67,0.937498,87,1.065271,8,0.000000
110209,1.0000,0,0.000000,0,0.000000,0,0.000000
110215,1.0000,508,0.939222,557,0.894465,224,0.984081
110219,0.9980,109,1.008210,180,1.064125,33,1.001989
110225,0.9948,242,1.006722,246,1.081702,37,1.072868
110226,0.9963,97,1.157947,146,0.961271,24,0.000000
110229,0.9967,260,0.957445,315,1.062761,69,1.113225
110230,0.9985,158,1.028050,194,1.016283,72,0.898667
120001,1.0000,354,0.896502,391,0.845082,412,0.900245
120002,1.0000,202,0.891636,124,0.985201,89,0.865799
120004,0.9990,92,0.948935,112,0.994577,49,1.042225
120005,1.0000,149,0.916797,209,0.938534,177,0.893330
120006,0.9957,139,1.108134,158,1.042813,105,1.046575
120007,0.9963,292,1.096240,200,0.891931,119,1.015315
120010,0.9963,110,0.965230,76,0.920400,75,1.089936
120011,0.9990,24,0.000000,32,0.923597,25,1.055747
120014,0.9986,107,1.039105,77,0.993900,24,0.000000
120019,0.9997,109,0.906619,57,1.008930,12,0.000000
120022,1.0000,243,0.905499,296,0.892505,196,0.977356
120026,0.9965,307,0.963511,252,0.936439,147,1.127636
120027,0.9973,118,0.995885,112,1.078347,71,0.998500
120028,0.9993,45,0.976662,45,1.019944,10,0.000000
130002,0.9999,555,0.874451,277,1.003453,169,0.920576
130003,1.0000,269,0.875833,151,0.878723,31,0.967335
130006,1.0000,370,0.907880,521,0.813464,384,0.863532
130007,1.0000,199,0.878872,264,0.861823,248,0.872527
130013,1.0000,131,0.949774,107,0.887173,70,0.934114
130014,1.0000,139,0.988728,119,0.858510,18,0.000000
130018,1.0000,377,0.828952,180,0.852407,240,0.923637
130025,0.9981,76,1.071064,58,0.955751,6,0.000000
130028,1.0000,177,0.956370,210,0.823350,131,0.802829
130049,1.0000,336,0.950321,364,0.901847,261,0.829116
130063,1.0000,0,0.000000,0,0.000000,0,0.000000
130065,1.0000,3,0.000000,0,0.000000,0,0.000000
130066,1.0000,0,0.000000,0,0.000000,0,0.000000
130067,1.0000,1,0.000000,0,0.000000,0,0.000000
140001,0.9878,204,1.149950,171,1.072200,12,0.000000
140002,0.9985,359,0.990760,362,1.037661,108,0.904548
140007,0.9889,649,1.103177,1381,1.123944,544,1.170254
140008,0.9997,213,1.017728,505,0.980086,210,0.911387
140010,0.9997,1595,0.952687,2047,0.940947,679,1.012203
140011,0.9947,456,1.091129,322,1.032655,52,1.026969
140012,0.9926,194,1.012893,241,1.132955,97,1.089682
140013,0.9963,412,1.103186,333,0.943794,115,0.987325
140015,0.9972,900,1.038250,789,0.951586,422,1.032128
140018,0.9954,133,1.020016,159,1.010550,117,1.168924
140019,0.9949,142,0.949897,180,1.040955,6,0.000000
140026,0.9960,273,1.067056,179,0.957865,45,1.018282
140029,1.0000,400,0.923650,449,0.906137,207,0.983675
140030,0.9983,568,1.064458,675,0.957822,255,0.925423
140032,0.9980,374,1.053013,413,1.014857,57,1.027509
140034,0.9848,371,1.129637,485,1.240381,69,1.041500
140040,0.9880,260,1.171854,220,1.130876,55,1.042329
140043,0.9989,344,0.988510,375,1.030404,106,0.994277
140046,0.9883,320,1.110793,407,1.040410,340,1.153869
140048,0.9929,227,1.010952,384,1.191838,113,1.041123
140049,0.9976,169,1.000641,370,1.066525,84,0.933782
140051,0.9969,447,1.048311,729,1.027890,231,1.028446
140052,0.9951,198,0.984859,218,1.101280,51,1.096032
140053,0.9990,341,1.082356,950,0.938450,768,0.914751
140054,0.9998,325,0.970114,486,0.890662,215,1.006645
140058,0.9985,462,1.021555,262,0.950061,13,0.000000
140059,0.9924,284,1.041916,208,1.025154,48,1.012362
140062,0.9906,1419,1.119239,1732,1.069794,453,1.074514
140063,0.9987,136,0.984472,290,1.007530,46,1.110705
140064,0.9984,343,1.001843,226,0.994029,76,1.119945
140065,0.9979,538,1.039597,732,0.916878,206,1.048030
140067,0.9987,676,1.074807,739,1.013292,573,0.915927
140068,0.9891,90,1.079545,182,1.169252,28,1.013805
140077,0.9971,40,1.044691,62,1.059080,7,0.000000
140080,0.9948,315,1.075141,422,1.061118,126,1.097186
140082,0.9959,136,1.092834,290,1.030675,130,1.135888
140083,0.9983,69,1.067294,79,1.027609,8,0.000000
140084,0.9982,450,1.018611,570,1.033911,146,0.914516
140088,0.9950,134,1.066333,593,1.101864,154,1.079658
140089,1.0000,190,0.974834,201,0.947534,15,0.000000
140091,0.9984,283,0.994126,651,0.917726,396,1.048805
140093,0.9836,311,1.187947,496,1.182284,99,1.066195
140095,0.9986,99,1.051060,120,0.989696,14,0.000000
140100,1.0000,10,0.000000,3,0.000000,2,0.000000
140101,0.9967,413,1.056961,326,1.011915,113,0.946832
140103,0.9858,165,1.190468,236,1.160739,11,0.000000
140110,0.9988,392,0.986037,184,1.030013,24,0.000000
140113,0.9950,242,1.082234,436,1.006187,247,1.080217
140114,0.9946,595,1.040807,617,1.135251,290,0.952885
140115,0.9980,81,1.112510,132,0.990623,17,0.000000
140116,0.9897,512,1.103744,659,1.130906,413,1.050168
140117,0.9992,565,0.978352,1305,1.016560,580,0.989187
140118,0.9855,256,1.188207,732,1.151234,124,1.152807
140119,0.9992,289,1.105571,692,1.009779,168,0.961025
140120,0.9888,365,1.097371,199,1.134274,56,1.054660
140122,1.0000,448,0.991288,551,0.994586,139,0.985931
140124,0.9956,76,1.054675,185,1.109816,62,1.099917
140125,0.9959,145,1.143071,212,1.044326,85,0.990709
140127,1.0000,310,0.887603,440,0.992474,185,0.937182
140130,0.9993,380,1.011397,344,0.975604,67,1.025211
140133,0.9940,199,1.142329,427,1.097082,93,0.987696
140135,0.9998,654,1.008936,749,0.963898,296,0.974952
140137,0.9986,92,1.019782,59,0.933796,11,0.000000
140143,1.0000,258,0.989456,192,0.996439,7,0.000000
140145,1.0000,124,0.983941,106,0.916426,10,0.000000
140147,0.9925,292,1.034185,185,1.075414,25,0.958705
140148,0.9998,993,1.012592,1044,0.983910,713,0.862435
140150,0.9985,170,0.975909,264,1.058859,73,1.087396
140151,0.9936,21,0.000000,207,1.141176,2,0.000000
140155,0.9964,357,1.041251,226,1.088484,57,0.929439
140158,0.9913,280,1.020070,735,1.099228,218,1.208977
140160,0.9968,331,1.016899,306,1.034857,78,1.076524
140161,1.0000,112,0.934725,86,0.950314,10,0.000000
140162,1.0000,249,0.995292,330,0.976593,162,0.968301
140164,0.9999,340,1.003404,393,0.967810,467,0.963646
140166,0.9959,310,0.982835,427,1.090998,121,0.864065
140167,1.0000,193,0.888742,150,0.940642,37,0.980880
140172,0.9902,678,1.114203,1270,1.125094,499,1.066665
140174,0.9976,324,0.977931,264,0.968680,148,1.082342
140176,0.9936,333,1.111959,279,1.090463,88,1.005261
140177,0.9962,74,1.000529,161,1.166729,12,0.000000
140179,0.9924,469,1.252063,831,1.025785,116,1.162666
140180,0.9941,224,1.079279,428,1.048752,153,1.218514
140181,0.9965,135,1.150523,237,0.999714,23,0.000000
140182,0.9923,286,1.142984,386,1.104777,146,1.105628
140184,0.9927,314,1.129297,197,1.037706,87,1.092317
140185,0.9976,496,1.107309,861,0.982550,340,0.960072
140186,1.0000,497,0.944708,492,0.979694,194,0.930372
140187,0.9985,291,1.071718,618,1.001193,287,0.957652
140189,0.9996,433,0.969918,515,0.997260,94,1.027896
140191,0.9891,432,1.133505,996,1.097611,340,1.202292
140197,0.9990,128,1.041975,65,0.954449,10,0.000000
140200,0.9981,607,1.067811,968,0.893402,308,1.011109
140202,0.9982,638,0.969860,871,1.048394,282,0.952949
140206,0.9994,69,1.019440,136,1.010516,22,0.000000
140208,0.9955,827,1.089441,1536,1.002578,660,1.120370
140209,0.9981,397,1.045358,507,0.987940,271,1.042225
140210,0.9931,325,1.013683,181,1.098582,24,0.000000
140211,0.9968,529,1.075894,439,0.885576,129,0.897574
140213,0.9903,783,1.146222,924,1.089637,268,1.074330
140217,0.9979,337,1.050055,359,0.962297,125,1.031547
140223,0.9955,731,1.138968,1124,1.032681,369,1.073211
140224,0.9983,240,1.023846,533,0.994772,141,1.073783
140228,0.9996,518,1.000415,626,1.011884,219,0.980722
140231,1.0000,940,0.930952,879,0.943992,264,0.914059
140233,0.9989,537,0.968311,509,0.967285,277,1.043017
140234,0.9999,283,1.001851,188,0.948619,22,0.000000
140239,0.9997,553,0.930741,418,1.012083,279,0.943047
140240,0.9926,92,0.961384,258,1.119260,55,1.062955
140242,1.0000,520,0.940638,933,0.964518,211,0.974396
140250,0.9939,404,1.174087,510,1.061073,178,0.956846
140251,0.9925,289,1.131191,608,1.022436,259,1.145945
140252,0.9930,1173,1.019551,1389,1.038812,560,1.193518
140258,0.9965,818,1.075849,1012,0.976418,351,1.073200
140275,0.9895,290,1.142950,384,1.088675,218,0.943658
140276,0.9977,420,1.123323,782,0.991878,258,1.054292
140280,1.0000,651,0.986482,720,0.997003,651,0.989942
140281,0.9962,682,1.173739,1055,1.086121,288,1.031418
140286,0.9996,437,0.968157,358,1.009793,84,0.978314
140288,0.9989,764,0.951065,847,0.909063,278,1.058840
140289,0.9998,368,0.954047,349,0.981498,178,1.005545
140290,0.9974,714,1.075350,672,0.966170,214,1.002005
140291,0.9970,439,0.968186,669,0.975328,303,1.084099
140292,0.9986,79,1.053758,123,1.018080,48,0.955114
140294,0.9882,189,1.160326,85,1.093272,16,0.000000
140300,0.9965,44,0.980774,87,1.066105,2,0.000000
140304,0.9902,187,1.098287,280,1.101816,81,1.114240
150001,1.0000,222,0.971484,150,0.840949,15,0.000000
150002,0.9901,504,1.111966,1089,1.137435,228,1.082299
150003,0.9985,302,0.909118,295,1.033078,98,0.979651
150004,0.9908,291,1.131832,650,1.027073,257,1.163706
150005,1.0000,324,0.980286,318,0.959916,125,0.984570
150006,0.9991,369,0.998713,400,1.018067,147,0.982884
150007,0.9992,318,0.947831,285,0.934273,140,1.019131
150008,0.9970,180,0.958073,442,1.032317,53,1.098516
150009,0.9949,499,0.955917,548,1.099040,211,1.135173
150010,1.0000,340,0.915380,213,0.937220,12,0.000000
150011,1.0000,310,0.882710,349,0.955957,73,0.911061
150012,1.0000,595,0.841985,764,0.928317,285,0.836265
150015,0.9980,204,0.953430,444,1.017078,142,1.055548
150017,0.9990,385,0.917290,787,1.037392,541,0.848644
150018,0.9987,373,0.910737,842,0.966792,328,1.035413
150021,1.0000,519,0.811543,967,0.859382,495,0.769917
150022,0.9947,142,0.977585,171,1.075883,12,0.000000
150023,0.9973,751,1.096940,1131,0.996980,526,0.934174
150024,0.9946,132,1.139288,242,1.157082,145,1.040965
150026,1.0000,347,0.905780,294,0.954294,79,0.934556
150030,1.0000,299,0.920903,205,0.901195,14,0.000000
150033,1.0000,499,0.934716,247,0.917321,27,0.982786
150034,0.9921,465,1.074403,961,1.106013,142,0.979227
150035,1.0000,603,0.922149,683,0.996782,248,0.968460
150037,1.0000,303,0.918529,136,0.928036,40,0.956154
150038,1.0000,133,0.982693,136,0.947295,15,0.000000
150042,0.9992,330,1.021164,489,0.931088,180,1.011067
150044,0.9954,803,1.087798,663,1.052018,358,0.998553
150045,1.0000,158,0.946012,105,0.920619,22,0.000000
150046,0.9955,271,1.049244,379,1.045773,248,1.024475
150047,0.9982,61,0.977923,177,0.933646,68,1.071322
150048,1.0000,1004,0.914203,726,0.934359,492,0.957713
150051,1.0000,704,0.881884,477,0.896052,385,0.843094
150056,0.9991,648,1.019729,848,1.048980,423,0.987528
150057,1.0000,169,0.935027,49,0.926543,5,0.000000
150058,1.0000,498,0.871164,635,0.793842,286,0.938133
150059,1.0000,294,0.943126,222,0.906689,123,0.919750
150061,0.9975,295,0.954750,128,1.055850,21,0.000000
150064,0.9959,238,1.049473,122,0.922755,25,0.999764
150065,1.0000,230,0.917925,138,0.946820,29,0.970839
150069,1.0000,298,0.938032,248,0.952020,56,0.893656
150072,1.0000,227,0.874022,111,0.865371,4,0.000000
150074,1.0000,403,0.994923,408,0.947163,109,0.974838
150075,0.9998,209,0.979546,127,1.004805,25,1.005283
150076,1.0000,108,0.914471,156,0.944438,30,0.991316
150082,0.9980,1097,1.072609,1107,0.951440,446,0.885770
150084,1.0000,552,0.947178,1373,0.908365,402,0.993842
150086,0.9977,270,1.005813,175,1.030570,55,1.094219
150088,0.9953,533,1.044923,321,1.066980,58,1.060315
150089,1.0000,784,0.932493,853,0.958136,420,0.933912
150090,0.9979,291,0.934881,462,0.998189,150,1.068878
150091,1.0000,139,0.944495,114,0.883992,4,0.000000
150097,1.0000,298,0.986054,157,0.994807,11,0.000000
150100,0.9992,513,0.989943,637,0.920268,322,1.036862
150101,1.0000,99,0.958675,66,0.899217,5,0.000000
150102,0.9891,136,1.038671,60,1.147637,12,0.000000
150104,1.0000,150,0.929760,170,0.946222,48,0.989475
150109,1.0000,79,0.981698,225,0.912170,220,0.922156
150112,1.0000,368,0.843235,413,0.842042,312,0.999644
150113,0.9993,433,1.009933,420,0.953268,67,1.024141
150115,1.0000,322,0.971852,362,0.930502,219,0.891423
150125,0.9928,789,1.125419,1708,1.058044,273,1.070254
150126,0.9978,499,1.025644,782,1.030417,224,0.990486
150128,1.0000,359,0.953602,370,0.952278,144,0.938785
150129,1.0000,102,0.955883,103,0.944364,7,0.000000
150133,0.9967,214,1.031930,214,1.022407,50,1.058150
150146,0.9971,147,1.040905,101,0.904011,15,0.000000
150149,1.0000,0,0.000000,0,0.000000,0,0.000000
150150,1.0000,79,0.947155,42,0.978189,11,0.000000
150153,1.0000,36,0.979885,731,0.925974,1210,0.791208
150154,0.9962,30,0.957938,518,0.959841,319,1.052620
150157,1.0000,80,0.965549,68,0.981636,5,0.000000
150158,0.9995,362,0.960786,288,1.014342,91,0.880345
150160,1.0000,0,0.000000,0,0.000000,0,0.000000
150161,0.9996,103,0.990489,109,0.906481,40,1.047612
150162,1.0000,385,0.911671,729,0.900995,479,0.981272
150163,0.9944,87,1.042528,43,1.093256,2,0.000000
150164,0.9997,94,1.007407,72,0.988146,3,0.000000
150165,0.9993,57,1.019040,74,0.897361,7,0.000000
150166,0.9950,55,1.064521,48,1.083991,0,0.000000
150167,1.0000,0,0.000000,0,0.000000,0,0.000000
150168,1.0000,0,0.000000,0,0.000000,0,0.000000
150169,0.9988,455,0.963049,254,1.078901,14,0.000000
150172,1.0000,0,0.000000,0,0.000000,0,0.000000
150173,1.0000,478,0.962719,367,0.945224,223,0.890709
150175,1.0000,8,0.000000,121,0.937108,255,0.899715
150176,0.9966,60,0.990132,97,1.048411,43,1.055489
150177,1.0000,22,0.000000,12,0.000000,0,0.000000
150179,1.0000,0,0.000000,0,0.000000,0,0.000000
160001,1.0000,256,0.862247,179,0.823758,86,0.932064
160005,1.0000,193,0.901672,103,0.936059,9,0.000000
160008,0.9926,182,1.107188,187,0.843647,35,0.944275
160013,1.0000,123,0.946579,100,0.922254,18,0.000000
160016,0.9984,438,1.033375,418,0.860836,254,0.789167
160024,0.9995,268,1.014939,340,0.948091,125,1.002655
160028,0.9987,201,0.996483,188,1.032345,87,1.028653
160029,1.0000,307,0.959601,446,0.965703,302,0.996285
160030,0.9990,398,1.034682,405,0.927927,283,0.916561
160032,1.0000,133,0.978364,134,0.976143,22,0.000000
160033,1.0000,909,0.910619,896,0.867789,588,0.898148
160040,1.0000,104,0.937449,51,0.984957,10,0.000000
160045,1.0000,602,0.977043,493,0.876800,342,0.920906
160047,0.9970,350,1.070001,216,0.987187,116,0.989001
160057,1.0000,276,0.994102,293,0.983267,253,0.969335
160058,0.9997,242,1.051633,393,0.989612,241,0.855325
160064,1.0000,592,0.967425,729,0.998415,441,0.897392
160067,1.0000,241,0.934919,256,0.885708,101,0.870524
160069,0.9998,190,1.015842,200,0.981892,193,0.924938
160079,0.9986,754,1.029193,462,0.925728,283,0.998269
160080,0.9971,581,1.024547,333,1.028499,182,0.867778
160082,1.0000,531,0.875723,620,0.811746,453,0.823083
160083,1.0000,1003,0.884003,1054,0.949371,679,0.773429
160089,1.0000,246,0.953679,251,0.965374,129,0.991229
160101,1.0000,16,0.000000,9,0.000000,0,0.000000
160104,0.9985,158,1.055166,125,0.980566,60,0.981109
160110,0.9964,489,1.061653,640,0.994905,368,1.058555
160112,1.0000,270,0.940860,126,0.958827,13,0.000000
160117,1.0000,299,0.999454,162,0.936915,55,0.938108
160122,0.9965,171,0.980369,121,1.073730,35,1.034090
160124,1.0000,209,0.946779,79,0.967878,10,0.000000
160146,0.9998,349,0.918899,230,0.944137,64,1.023997
160147,0.9993,136,0.901140,96,1.018266,23,0.000000
160153,1.0000,373,0.893453,388,0.935709,337,0.952556
170001,0.9994,183,0.929917,186,0.901018,31,1.058653
170006,1.0000,288,0.933598,227,0.995997,101,0.975741
170009,0.9986,95,1.031103,123,0.982716,16,0.000000
170010,0.9949,80,1.093525,89,0.999202,7,0.000000
170012,1.0000,326,0.925630,142,0.881067,203,0.904357
170013,0.9998,319,1.007212,336,0.964209,316,0.785112
170014,0.9999,208,1.001109,77,0.967535,10,0.000000
170016,1.0000,391,0.982863,371,0.979583,230,0.893404
170017,0.9970,152,1.037939,92,1.017503,10,0.000000
170020,1.0000,671,0.957069,302,0.786292,230,0.935968
170023,1.0000,152,0.945512,68,0.971903,49,0.998469
170027,0.9996,127,0.878659,79,1.012645,4,0.000000
170039,1.0000,79,0.922728,31,0.987802,1,0.000000
170040,0.9979,224,1.121020,465,0.999455,165,1.158543
170049,0.9995,405,0.963295,538,0.935290,233,1.022044
170058,1.0000,186,0.990247,121,0.950045,13,0.000000
170068,0.9977,65,0.970346,39,1.108929,10,0.000000
170074,0.9994,129,0.909532,71,1.018816,11,0.000000
170075,1.0000,60,0.973469,46,0.986504,7,0.000000
170086,1.0000,641,0.824970,748,0.970141,387,0.932141
170094,0.9898,155,1.090784,101,1.007178,2,0.000000
170103,1.0000,204,0.911869,218,0.860299,47,0.910564
170104,0.9978,617,0.973087,706,1.012190,258,1.086364
170105,0.9995,171,0.938903,94,1.009078,12,0.000000
170109,1.0000,35,0.952544,22,0.000000,3,0.000000
170110,0.9990,42,1.013163,24,0.000000,2,0.000000
170120,0.9997,138,0.961687,107,1.012732,10,0.000000
170122,1.0000,1066,0.945454,1164,0.886990,757,0.983884
170123,1.0000,466,0.982739,544,0.795055,410,0.921791
170133,0.9994,110,0.983255,58,1.019275,7,0.000000
170137,0.9992,188,1.038248,210,0.964163,114,0.966492
170142,1.0000,241,0.986040,146,0.969524,121,0.952612
170145,0.9986,382,1.011826,215,1.004633,26,1.017815
170146,0.9947,218,0.957301,372,1.134106,122,1.025246
170150,0.9987,98,0.923585,56,1.032402,11,0.000000
170166,0.9800,112,1.145208,111,1.151510,9,0.000000
170175,0.9994,176,0.890161,106,0.922524,52,1.026116
170176,0.9996,137,0.954007,241,0.954914,83,1.018910
170182,0.9960,235,1.052144,240,1.056010,66,1.097276
170183,1.0000,0,0.000000,0,0.000000,0,0.000000
170185,0.9989,222,1.035048,316,0.932645,93,0.934212
170186,1.0000,15,0.000000,229,0.887280,321,0.791617
170187,1.0000,0,0.000000,0,0.000000,0,0.000000
170188,1.0000,0,0.000000,0,0.000000,0,0.000000
170190,1.0000,0,0.000000,0,0.000000,0,0.000000
170191,0.9996,88,0.971975,35,1.035034,8,0.000000
170192,0.9954,177,0.988611,377,1.090873,128,0.945277
170194,1.0000,0,0.000000,1,0.000000,0,0.000000
170195,1.0000,0,0.000000,0,0.000000,0,0.000000
170196,1.0000,0,0.000000,0,0.000000,0,0.000000
170197,1.0000,86,0.928743,194,0.858994,175,0.878513
170198,1.0000,0,0.000000,0,0.000000,0,0.000000
170199,1.0000,0,0.000000,0,0.000000,0,0.000000
170200,0.9974,125,1.013613,65,1.035848,19,0.000000
170202,1.0000,6,0.000000,16,0.000000,2,0.000000
180001,0.9960,297,0.997442,377,1.076218,148,1.036741
180002,0.9873,243,0.968736,292,1.225147,17,0.000000
180004,1.0000,244,0.876644,113,0.884689,3,0.000000
180005,0.9902,334,1.015893,292,1.222426,42,1.102764
180009,0.9893,932,1.149869,1356,1.119798,736,1.067839
180010,0.9976,767,1.022521,824,1.002121,840,1.042504
180011,0.9977,324,0.897499,553,0.948406,291,1.056765
180012,0.9990,812,1.005585,869,0.974934,377,1.022811
180013,0.9962,863,1.020348,962,1.078823,402,0.983513
180016,1.0000,191,0.959101,153,0.878541,24,0.000000
180017,0.9989,385,1.026440,350,0.926734,219,0.956263
180018,0.9947,319,1.044840,241,0.950048,132,1.102607
180019,0.9905,207,1.105073,128,1.100962,72,0.898438
180020,0.9913,196,1.028146,229,1.101232,22,0.000000
180021,0.9800,235,1.266363,316,1.289445,13,0.000000
180024,0.9959,165,0.912259,109,1.096501,16,0.000000
180025,0.9995,142,1.014423,109,0.905885,27,0.953935
180027,0.9951,381,0.992837,268,1.130270,32,1.042666
180029,0.9878,387,1.204081,398,1.202079,143,1.135761
180035,0.9987,813,0.992223,1392,1.021489,695,1.011633
180036,0.9960,436,1.050869,420,1.040630,89,0.964190
180038,1.0000,633,0.783330,1059,0.785203,483,0.934922
180040,0.9947,1122,1.098367,1572,1.077429,866,1.021742
180043,0.9831,295,1.158756,180,1.073968,18,0.000000
180044,0.9981,382,1.027155,436,1.021479,256,1.032761
180045,0.9930,243,1.110496,280,1.074121,106,1.104984
180046,0.9990,105,1.010544,92,0.930750,13,0.000000
180048,0.9973,553,1.060094,378,0.941403,209,0.890332
180049,0.9999,196,0.958008,117,0.951385,37,1.008533
180050,0.9800,291,1.300351,286,1.325550,14,0.000000
180051,0.9910,484,1.132715,222,1.046845,35,1.081261
180053,0.9883,258,1.106041,149,0.982634,9,0.000000
180056,0.9932,447,1.024909,292,1.124457,33,0.982623
180064,1.0000,248,0.970989,98,0.919808,18,0.000000
180066,0.9958,279,1.020189,161,1.036245,12,0.000000
180067,0.9971,263,0.959219,341,1.078779,231,1.191112
180069,0.9863,159,1.131240,163,1.221256,13,0.000000
180070,0.9923,296,1.074304,79,1.034739,15,0.000000
180078,0.9928,324,1.085102,134,0.990177,8,0.000000
180079,0.9922,354,1.011896,102,1.163855,15,0.000000
180080,0.9997,473,0.985404,326,1.006702,49,1.015695
180087,0.9958,293,1.006368,176,1.099155,27,0.966903
180088,0.9988,1502,1.033344,1822,0.983761,780,1.024425
180092,1.0000,218,0.927716,106,0.971727,19,0.000000
180093,0.9992,480,0.972659,422,1.024393,293,0.949511
180095,0.9869,166,1.134621,113,1.055965,15,0.000000
180101,0.9996,102,1.009974,65,0.978669,6,0.000000
180102,1.0000,479,0.995811,572,0.995860,241,0.932856
180103,0.9979,576,1.046156,556,0.935454,627,1.024864
180104,0.9965,606,1.011844,779,0.991797,481,1.097383
180105,0.9800,204,1.213719,240,1.171796,13,0.000000
180106,0.9885,165,1.087417,113,1.170037,11,0.000000
180115,0.9907,163,1.098114,61,1.016082,5,0.000000
180116,0.9892,503,1.125149,235,1.040851,39,0.980052
180117,0.9872,157,1.107779,58,1.060678,4,0.000000
180124,0.9984,213,1.034271,186,1.018098,30,1.005532
180127,0.9985,239,0.967021,254,1.036096,37,0.989052
180128,0.9899,144,1.085250,144,1.177308,6,0.000000
180130,0.9993,1346,0.984390,1617,0.922189,658,1.030913
180132,0.9991,708,1.017311,387,0.965755,276,1.007930
180138,1.0000,195,0.969918,185,0.917124,19,0.000000
180139,0.9943,124,1.141028,161,1.054375,21,0.000000
180141,0.9993,75,1.048409,65,1.054773,35,1.052962
180143,1.0000,208,0.987083,185,0.978797,163,0.964055
180149,0.9800,262,0.963361,286,1.306577,10,0.000000
190001,1.0000,181,0.866931,103,0.954879,11,0.000000
190002,0.9977,449,0.916118,718,1.023267,193,1.105143
190003,1.0000,84,0.971908,84,0.965126,52,0.990800
190004,0.9937,218,1.067068,522,1.051973,196,1.096535
190005,0.9998,26,1.008505,62,1.013836,37,0.983591
190006,0.9982,26,1.014266,48,1.051181,6,0.000000
190007,1.0000,269,0.941036,159,0.962647,13,0.000000
190008,0.9985,337,1.025616,537,1.019485,237,0.921559
190009,0.9993,26,1.016196,8,0.000000,1,0.000000
190011,0.9990,42,0.963225,51,1.035511,2,0.000000
190013,1.0000,232,0.917011,210,0.969508,57,0.953791
190014,0.9967,143,1.025345,183,1.040361,27,1.023151
190015,0.9908,470,1.208568,638,1.066501,163,0.957350
190017,0.9986,371,0.966532,514,1.028209,53,1.025977
190019,0.9952,567,0.949069,714,0.994435,391,1.117912
190020,0.9920,280,1.040580,292,1.118539,74,0.981873
190025,0.9866,304,1.081057,164,1.103739,29,0.953483
190026,0.9965,438,0.970523,616,1.006184,279,1.129623
190027,1.0000,361,0.975874,531,0.977310,221,0.941830
190034,0.9801,159,0.997414,272,1.226717,8,0.000000
190036,0.9922,292,1.090326,911,1.124206,380,1.174603
190039,0.9998,225,0.970129,476,0.979325,123,1.013298
190040,0.9914,305,1.106076,334,1.111062,108,1.015066
190041,0.9997,515,0.967681,595,0.949016,162,1.022900
190044,1.0000,297,0.896222,185,0.994316,7,0.000000
190045,1.0000,314,0.982505,418,0.925860,170,0.920017
190046,1.0000,281,0.860444,336,0.960887,56,0.980502
190050,0.9863,174,1.107519,133,1.165336,33,0.957485
190053,0.9800,409,1.137755,218,1.264787,39,0.989229
190054,0.9980,315,1.018874,242,1.032774,111,0.959277
190060,0.9962,404,0.950487,436,1.067321,122,1.091374
190064,1.0000,593,0.870661,922,0.924176,382,0.896410
190065,0.9992,284,0.898253,616,1.022349,254,1.007474
190079,0.9910,60,1.042663,94,1.097290,7,0.000000
190081,0.9909,193,1.071652,120,1.028136,10,0.000000
190086,0.9944,313,0.967709,429,1.101529,64,1.060877
190088,0.9992,160,0.995981,107,1.013876,6,0.000000
190090,0.9949,160,1.060002,89,0.916754,11,0.000000
190098,0.9968,65,1.136766,197,1.111939,76,1.066423
190099,0.9880,243,1.049691,192,1.105311,4,0.000000
190102,0.9998,469,0.915763,473,0.957627,160,1.009899
190106,0.9989,151,1.011897,90,0.958205,3,0.000000
190111,1.0000,966,0.857163,1902,0.898352,534,0.963757
190114,0.9855,223,1.122782,166,1.050601,16,0.000000
190116,0.9971,182,0.950449,121,1.064825,7,0.000000
190118,0.9913,134,1.080879,105,1.034258,6,0.000000
190122,1.0000,13,0.000000,20,0.000000,3,0.000000
190125,0.9931,538,0.897555,694,1.146505,329,1.085850
190128,1.0000,0,0.000000,0,0.000000,0,0.000000
190133,1.0000,43,0.921659,39,0.995059,2,0.000000
190135,0.9979,48,1.020248,104,1.057136,20,0.000000
190140,0.9800,285,1.230460,143,1.141968,8,0.000000
190144,0.9983,238,1.027744,215,0.954894,31,1.046309
190145,0.9932,196,1.017181,96,1.077302,3,0.000000
190146,1.0000,627,0.879455,772,0.890139,231,0.877380
190151,0.9924,110,1.048998,82,1.072297,20,0.000000
190160,0.9838,600,1.105435,678,1.190150,400,1.082693
190161,1.0000,12,0.000000,11,0.000000,2,0.000000
190164,0.9948,167,1.079510,218,1.055638,22,0.000000
190167,0.9947,474,0.946837,231,1.149032,24,0.000000
190175,0.9988,90,1.040495,133,0.992752,20,0.000000
190176,0.9994,70,0.948497,179,1.033738,95,1.009733
190177,0.9994,178,0.993858,252,1.015297,107,0.941690
