Provider_Number,Hospital_Name,Address_1,Address_2,Address_3,City,State,ZIP_Code,County,Phone_Number,Hospital_Type,Hospital_Ownership,Emergency_Services,Staffed_Beds,Total_Discharges,Patient_Days,Gross_Patient_Revenue
100109,FLORIDA HOSPITAL HEARTLAND MEDICAL CENTER,4200 SUN N' LAKE BLVD,,,SEBRING,FL,33871,HIGHLANDS,8633144466,Acute Care Hospitals,Voluntary non-profit - Church,"Yes",197,10190,45480,835626
100110,OSCEOLA REGIONAL MEDICAL CENTER,700 WEST OAK STREET,,,KISSIMMEE,FL,34741,OSCEOLA,4078462266,Acute Care Hospitals,Proprietary,"Yes",303,19497,86383,2270590
100118,FLORIDA HOSPITAL FLAGLER,60 MEMORIAL MEDICAL PKWY,,,PALM COAST,FL,32164,FLAGLER,3865862000,Acute Care Hospitals,Voluntary non-profit - Church,"Yes",99,7321,31523,562412
100121,BARTOW REGIONAL MEDICAL CENTER,2200 OSPREY BLVD,,,BARTOW,FL,33831,POLK,8635338111,Acute Care Hospitals,Proprietary,"Yes",72,3081,13918,354801
100122,NORTH OKALOOSA MEDICAL CENTER,151 REDSTONE AVE SE,,,CRESTVIEW,FL,32539,OKALOOSA,8506898100,Acute Care Hospitals,Voluntary non-profit - Private,"Yes",110,5223,20315,961795
100124,SANTA ROSA MEDICAL CENTER,6002 BERRYHILL RD,,,MILTON,FL,32570,SANTA ROSA,8506267762,Acute Care Hospitals,Proprietary,"Yes",121,3633,12816,407337
100125,HOMESTEAD HOSPITAL,975 BAPTIST WAY,,,HOMESTEAD,FL,33033,MIAMI-DADE,7862438000,Acute Care Hospitals,Voluntary non-profit - Private,"Yes",142,10393,38563,887690
100126,PALMS OF PASADENA HOSPITAL,1501 PASADENA AVE SOUTH,,,SAINT PETERSBURG,FL,33707,PINELLAS,7273811000,Acute Care Hospitals,Proprietary,"Yes",187,4871,24183,801245
100127,MORTON PLANT HOSPITAL,300 PINELLAS ST,,,CLEARWATER,FL,33756,PINELLAS,7274627000,Acute Care Hospitals,Voluntary non-profit - Private,"Yes",622,26146,108724,2001254
100128,TAMPA GENERAL HOSPITAL,1 TAMPA GENERAL CIRCLE,,,TAMPA,FL,33606,HILLSBOROUGH,8138447000,Acute Care Hospitals,Voluntary non-profit - Private,"Yes",964,42735,269616,5830526
100130,LAKESIDE MEDICAL CENTER,39200 HOOKER HWY,,,BELLE GLADE,FL,33430,PALM BEACH,5619966571,Acute Care Hospitals,Government - Hospital District or Authority,"Yes",54,2393,10086,124440
100131,AVENTURA HOSPITAL AND MEDICAL CENTER,20900 BISCAYNE BLVD,,,AVENTURA,FL,33180,MIAMI-DADE,3056827000,Acute Care Hospitals,Voluntary non-profit - Private,"Yes",407,22365,101129,2250621
100132,SOUTH FLORIDA BAPTIST HOSPITAL,301 N ALEXANDER ST,,,PLANT CITY,FL,33563,HILLSBOROUGH,8137571200,Acute Care Hospitals,Voluntary non-profit - Private,"Yes",147,6920,25917,507203
100137,HEART OF FLORIDA REGIONAL MEDICAL CENTER,40100 US HWY 27 N,,,DAVENPORT,FL,33837,POLK,8634224971,Acute Care Hospitals,Proprietary,"Yes",193,8787,34438,1334109
100142,JACKSON HOSPITAL,4250 HOSPITAL DR,,,MARIANNA,FL,32446,JACKSON,8507182620,Acute Care Hospitals,Government - Hospital District or Authority,"Yes",255,13944,63304,754857
100150,LOWER KEYS MEDICAL CENTER,5900 COLLEGE ROAD,,,KEY WEST,FL,33040,MONROE,3052945531,Acute Care Hospitals,Proprietary,"Yes",93,3837,16692,402294
100156,LAKE CITY MEDICAL CENTER,340 NW COMMERCE DR,,,LAKE CITY,FL,32055,COLUMBIA,3867199000,Acute Care Hospitals,Voluntary non-profit - Private,"Yes",67,4456,18464,360685
100157,LAKELAND REGIONAL MEDICAL CENTER,1324 LAKELAND HILLS BLVD,,,LAKELAND,FL,33805,POLK,8636871100,Acute Care Hospitals,Voluntary non-profit - Private,"Yes",833,40662,195146,3382312
100161,CENTRAL FLORIDA REGIONAL HOSPITAL,1401 W SEMINOLE BLVD,,,SANFORD,FL,32771,SEMINOLE,4073214500,Acute Care Hospitals,Proprietary,"Yes",221,10744,47662,1186110
100166,DOCTORS HOSPITAL OF SARASOTA,5731 BEE RIDGE RD,,,SARASOTA,FL,34233,SARASOTA,9413421100,Acute Care Hospitals,Proprietary,"Yes",155,6801,26971,720816
100167,PLANTATION GENERAL HOSPITAL,401 NW 42ND AVE,,,PLANTATION,FL,33317,BROWARD,9545875010,Acute Care Hospitals,Proprietary,"No",655,24142,117428,2905476
100168,BOCA RATON REGIONAL HOSPITAL,800 MEADOWS RD,,,BOCA RATON,FL,33486,PALM BEACH,5613625002,Acute Care Hospitals,Voluntary non-profit - Private,"Yes",370,18566,89836,1756264
100173,FLORIDA HOSPITAL TAMPA,3100 E FLETCHER AVE,,,TAMPA,FL,33613,HILLSBOROUGH,8136157200,Acute Care Hospitals,Voluntary non-profit - Private,"Yes",493,19469,104549,1896884
100175,DESOTO MEMORIAL HOSPITAL,900 N ROBERT AVE,,,ARCADIA,FL,34265,DE SOTO,8634943535,Acute Care Hospitals,Voluntary non-profit - Private,"Yes",49,1502,5334,94296
100176,PALM BEACH GARDENS MEDICAL CENTER,3360 BURNS RD,,,PALM BEACH GARDENS,FL,33410,PALM BEACH,5616221411,Acute Care Hospitals,Proprietary,"Yes",199,9810,48482,985967
100181,LARKIN COMMUNITY HOSPITAL,7031 SW 62ND AVE,,,SOUTH MIAMI,FL,33143,MIAMI-DADE,3052847500,Acute Care Hospitals,Proprietary,"Yes",128,5590,32815,355149
100183,CORAL GABLES HOSPITAL,3100 DOUGLAS RD,,,CORAL GABLES,FL,33134,MIAMI-DADE,3054458461,Acute Care Hospitals,Proprietary,"Yes",245,7610,32835,748702
100187,PALMETTO GENERAL HOSPITAL,2001 W 68TH ST,,,HIALEAH,FL,33016,MIAMI-DADE,3058235000,Acute Care Hospitals,Proprietary,"Yes",360,21450,104298,1701764
100191,MEDICAL CENTER OF TRINITY,9330 SR 54,,,TRINITY,FL,34655,PASCO,7278481733,Acute Care Hospitals,Proprietary,"Yes",279,13460,60965,1701260
100200,BROWARD HEALTH IMPERIAL POINT,6401 N FEDERAL HWY,,,FORT LAUDERDALE,FL,33308,BROWARD,9547768500,Acute Care Hospitals,Government - Hospital District or Authority,"Yes",185,6285,26418,453685
100204,NORTH FLORIDA REGIONAL MEDICAL CENTER,6500 NEWBERRY RD,,,GAINESVILLE,FL,32605,ALACHUA,3523334100,Acute Care Hospitals,Proprietary,"Yes",414,23536,97058,2902209
100206,MEMORIAL HOSPITAL OF TAMPA,2901 SWANN AVE,,,TAMPA,FL,33609,HILLSBOROUGH,8138736400,Acute Care Hospitals,Proprietary,"Yes",183,3911,17959,586061
100209,KENDALL REGIONAL MEDICAL CENTER,11750 BIRD RD,,,MIAMI,FL,33175,MIAMI-DADE,3052233000,Acute Care Hospitals,Proprietary,"Yes",417,22000,102610,2814251
100212,OCALA REGIONAL MEDICAL CENTER,1431 SW 1ST AVE,,,OCALA,FL,34478,MARION,3524011000,Acute Care Hospitals,Proprietary,"Yes",294,18600,83848,2197106
100213,BLAKE MEDICAL CENTER,2020 59TH ST W,,,BRADENTON,FL,34209,MANATEE,9417926611,Acute Care Hospitals,Proprietary,"Yes",383,14866,68020,1421039
100217,SEBASTIAN RIVER MEDICAL CENTER,13695 US HWY 1,,,SEBASTIAN,FL,32978,INDIAN RIVER,7725893187,Acute Care Hospitals,Proprietary,"Yes",154,5451,24328,881204
100223,FORT WALTON BEACH MEDICAL CENTER,1000 MAR-WALT DR,,,FORT WALTON BEACH,FL,32547,OKALOOSA,8508621111,Acute Care Hospitals,Proprietary,"Yes",257,9980,42178,1726387
100224,UNIVERSITY HOSPITAL AND MEDICAL CENTER,7201 N UNIVERSITY DR,,,TAMARAC,FL,33321,BROWARD,9547212200,Acute Care Hospitals,Proprietary,"Yes",317,8018,34707,895463
100226,ORANGE PARK MEDICAL CENTER,2001 KINGSLEY AVE,,,ORANGE PARK,FL,32073,CLAY,9042768500,Acute Care Hospitals,Proprietary,"Yes",297,16431,71531,2167729
100228,WESTSIDE REGIONAL MEDICAL CENTER,8201 W BROWARD BLVD,,,PLANTATION,FL,33324,BROWARD,9544736600,Acute Care Hospitals,Proprietary,"Yes",224,14416,62969,1347103
100230,MEMORIAL HOSPITAL PEMBROKE,7800 SHERIDAN ST,,,PEMBROKE PINES,FL,33024,BROWARD,9549629650,Acute Care Hospitals,Government - Hospital District or Authority,"Yes",301,6169,26878,754478
100231,WEST FLORIDA HOSPITAL,8383 N DAVIS HWY,,,PENSACOLA,FL,32514,ESCAMBIA,8504944000,Acute Care Hospitals,Proprietary,"Yes",515,12590,53835,1507140
100232,PUTNAM COMMUNITY MEDICAL CENTER,611 ZEAGLER DR,,,PALATKA,FL,32177,PUTNAM,3863268500,Acute Care Hospitals,Proprietary,"Yes",99,4839,19712,343343
100236,FAWCETT MEMORIAL HOSPITAL,21298 OLEAN BLVD,,,PORT CHARLOTTE,FL,33952,CHARLOTTE,9416291181,Acute Care Hospitals,Proprietary,"Yes",237,10720,52402,1379953
100242,GULF COAST MEDICAL CENTER,449 W 23RD ST,,,PANAMA CITY,FL,32405,BAY,8507477926,Acute Care Hospitals,Proprietary,"Yes",218,12192,53383,1428419
100243,BRANDON REGIONAL HOSPITAL,119 OAKFIELD DR,,,BRANDON,FL,33511,HILLSBOROUGH,8136815551,Acute Care Hospitals,Proprietary,"Yes",438,25062,103042,2808224
100244,CAPE CORAL HOSPITAL,636 DEL PRADO BLVD,,,CAPE CORAL,FL,33990,LEE,2395742323,Acute Care Hospitals,Government - Hospital District or Authority,"Yes",291,17227,74758,1008585
100246,LAWNWOOD REGIONAL MEDICAL CENTER & HEART INSTITUTE,1700 S 23RD ST,,,FORT PIERCE,FL,34950,SAINT LUCIE,7724614000,Acute Care Hospitals,Proprietary,"Yes",370,17972,88372,2270289
100248,LARGO MEDICAL CENTER,201 14TH ST SW,,,LARGO,FL,33770,PINELLAS,7275885200,Acute Care Hospitals,Proprietary,"Yes",363,15710,72939,1922217
100249,SEVEN RIVERS REGIONAL MEDICAL CENTER,6201 N SUNCOAST BLVD,,,CRYSTAL RIVER,FL,34428,CITRUS,3527956560,Acute Care Hospitals,Proprietary,"Yes",128,6125,24791,616629
100252,RAULERSON HOSPITAL,1796 HWY 441 NORTH,,,OKEECHOBEE,FL,34972,OKEECHOBEE,8637632151,Acute Care Hospitals,Proprietary,"Yes",100,5125,21572,468383
100253,JUPITER MEDICAL CENTER,1210 S OLD DIXIE HWY,,,JUPITER,FL,33458,PALM BEACH,5617472234,Acute Care Hospitals,Voluntary non-profit - Private,"Yes",195,11615,47434,877573
100254,CAPITAL REGIONAL MEDICAL CENTER,2626 CAPITAL MEDICAL BLVD,,,TALLAHASSEE,FL,32308,LEON,8506565000,Acute Care Hospitals,Proprietary,"Yes",242,12122,49211,1088998
100256,REGIONAL MEDICAL CENTER BAYONET POINT,14000 FIVAY ROAD,,,HUDSON,FL,34667,PASCO,7278192929,Acute Care Hospitals,Proprietary,"Yes",290,14051,65640,1690557
100258,DELRAY MEDICAL CENTER,5352 LINTON BLVD,,,DELRAY BEACH,FL,33484,PALM BEACH,5614984440,Acute Care Hospitals,Proprietary,"Yes",461,16978,82752,2005831
100259,SOUTH BAY HOSPITAL,4016 SUN CITY CENTER BLVD,,,SUN CITY CENTER,FL,33573,HILLSBOROUGH,8136343301,Acute Care Hospitals,Proprietary,"Yes",112,7309,32406,734221
100264,OAK HILL HOSPITAL,11375 CORTEZ BLVD,,,BROOKSVILLE,FL,34613,HERNANDO,3525966632,Acute Care Hospitals,Voluntary non-profit - Other,"Yes",262,15388,67522,1919255
100265,MEASE COUNTRYSIDE HOSPITAL,3231 MCMULLEN BOOTH RD,,,SAFETY HARBOR,FL,34695,PINELLAS,7277346950,Acute Care Hospitals,Voluntary non-profit - Private,"Yes",303,18717,76957,1227423
100266,GULF BREEZE HOSPITAL,1110 GULF BREEZE PKWY,,,GULF BREEZE,FL,32561,SANTA ROSA,8509342000,Acute Care Hospitals,Voluntary non-profit - Other,"Yes",65,4169,16268,500817
100267,ENGLEWOOD COMMUNITY HOSPITAL,700 MEDICAL BLVD,,,ENGLEWOOD,FL,34223,SARASOTA,9414756571,Acute Care Hospitals,Proprietary,"Yes",100,3496,12441,360536
100268,WEST BOCA MEDICAL CENTER,21644 STATE RD 7,,,BOCA RATON,FL,33428,PALM BEACH,5614888000,Acute Care Hospitals,Proprietary,"Yes",195,9998,44051,568213
100269,PALMS WEST HOSPITAL,13001 SOUTHERN BLVD,,,LOXAHATCHEE,FL,33470,PALM BEACH,5617534245,Acute Care Hospitals,Proprietary,"Yes",204,13950,58741,1178427
100275,WELLINGTON REGIONAL MEDICAL CENTER,10101 FOREST HILL BLVD,,,WELLINGTON,FL,33414,PALM BEACH,5617988500,Acute Care Hospitals,Proprietary,"Yes",233,11234,54972,939088
100276,BROWARD HEALTH CORAL SPRINGS,3000 CORAL HILLS DR,,,CORAL SPRINGS,FL,33065,BROWARD,9543443000,Acute Care Hospitals,Government - Hospital District or Authority,"Yes",196,12378,51475,639815
100281,MEMORIAL HOSPITAL WEST,703 N FLAMINGO RD,,,PEMBROKE PINES,FL,33028,BROWARD,9544365000,Acute Care Hospitals,Government - Hospital District or Authority,"Yes",384,20799,106189,2551897
100284,WESTCHESTER GENERAL HOSPITAL,2500 SW 75TH AVE,,,MIAMI,FL,33155,MIAMI-DADE,3052639270,Acute Care Hospitals,Proprietary,"Yes",197,6258,34303,203905
100285,MEMORIAL HOSPITAL MIRAMAR,1901 SW 172ND AVE,,,MIRAMAR,FL,33029,BROWARD,9545384810,Acute Care Hospitals,Voluntary non-profit - Other,"Yes",178,8423,37336,849076
100287,GOOD SAMARITAN MEDICAL CENTER,1309 N FLAGLER DR,,,WEST PALM BEACH,FL,33401,PALM BEACH,5616555511,Acute Care Hospitals,Proprietary,"Yes",215,12212,51884,1184414
100291,WUESTHOFF MEDICAL CENTER - MELBOURNE,250 NORTH WICKHAM ROAD,,,MELBOURNE,FL,32935,BREVARD,3217521200,Acute Care Hospitals,Voluntary non-profit - Private,"Yes",113,3670,16847,591779
100292,SACRED HEART HOSPITAL ON THE EMERALD COAST,7800 US HWY 98 W,,,MIRAMAR BEACH,FL,32550,WALTON,8502783600,Acute Care Hospitals,Voluntary non-profit - Other,"Yes",50,6274,17242,562330
100299,LAKEWOOD RANCH MEDICAL CENTER,8330 LAKEWOOD RANCH BOULEVARD,,,BRADENTON,FL,34202,MANATEE,9417822100,Acute Care Hospitals,Proprietary,"Yes",120,5458,17191,469018
100313,SACRED HEART HOSPITAL ON THE GULF,3801 E HWY 98,,,PORT SAINT JOE,FL,32456,GULF,8502295600,Acute Care Hospitals,Voluntary non-profit - Private,"Yes",19,561,1681,41626
100314,WEST KENDALL BAPTIST HOSPITAL,9555 SW 162 AVE,,,MIAMI,FL,33196,MIAMI-DADE,7864672011,Acute Care Hospitals,Voluntary non-profit - Private,"Yes",133,8415,32547,864578
100315,VIERA HOSPITAL,8745 N WICKHAM RD,,,MELBOURNE,FL,32940,BREVARD,3214349000,Acute Care Hospitals,Voluntary non-profit - Private,"Yes",84,4129,14660,386528
100319,FLORIDA HOSPITAL WESLEY CHAPEL,2600 BRUCE B DOWNS BLVD,,,WESLEY CHAPEL,FL,33544,PASCO,8139295490,Acute Care Hospitals,Voluntary non-profit - Private,"Yes",83,5177,19676,572075
110001,HAMILTON MEDICAL CENTER,1200 MEMORIAL DRIVE,,,DALTON,GA,30720,WHITFIELD,7062726105,Acute Care Hospitals,Voluntary non-profit - Private,"Yes",261,9365,42976,813388
110002,UPSON REGIONAL MEDICAL CENTER,801 W GORDON STREET,,,THOMASTON,GA,30286,UPSON,7066478111,Acute Care Hospitals,Voluntary non-profit - Other,"Yes",101,3068,12413,236552
110007,PHOEBE PUTNEY MEMORIAL HOSPITAL,417 THIRD AVENUE,,,ALBANY,GA,31703,DOUGHERTY,2293124068,Acute Care Hospitals,Government - Hospital District or Authority,"Yes",526,17948,105415,1428558
110010,EMORY UNIVERSITY HOSPITAL,"""1364 CLIFTON ROAD"," NE""",,,ATLANTA,GA,30322,DEKALB,4046868500,Acute Care Hospitals,Voluntary non-profit - Private,528,24961,154698,2163959
110015,TANNER MEDICAL CENTER VILLA RICA,601 DALLAS HIGHWAY,,,VILLA RICA,GA,30180,CARROLL,7704563101,Acute Care Hospitals,Government - Hospital District or Authority,"Yes",122,2293,8046,249990
110018,NEWTON MEDICAL CENTER,5126 HOSPITAL DRIVE NE,,,COVINGTON,GA,30014,NEWTON,7707867053,Acute Care Hospitals,Voluntary non-profit - Private,"Yes",103,2573,11738,183791
110023,GORDON HOSPITAL,1035 RED BUD ROAD,,,CALHOUN,GA,30701,GORDON,7066292895,Acute Care Hospitals,Voluntary non-profit - Church,"Yes",69,4034,16545,424070
110024,CANDLER HOSPITAL,5353 REYNOLDS STREET,,,SAVANNAH,GA,31412,CHATHAM,9128196000,Acute Care Hospitals,Voluntary non-profit - Other,"Yes",267,11145,68537,1019741
110026,ELBERT MEMORIAL HOSPITAL,4 MEDICAL DRIVE,,,ELBERTON,GA,30635,ELBERT,7062132535,Acute Care Hospitals,Government - Hospital District or Authority,"Yes",52,774,3098,26332
110028,UNIVERSITY HOSPITAL,1350 WALTON WAY,,,AUGUSTA,GA,30901,RICHMOND,7067229011,Acute Care Hospitals,Voluntary non-profit - Other,"Yes",495,15334,118548,1305046
110030,CARTERSVILLE MEDICAL CENTER,960 JOE FRANK HARRIS PARKWAY,,,CARTERSVILLE,GA,30120,BARTOW,7703878182,Acute Care Hospitals,Proprietary,"Yes",112,7109,30488,934191
110032,STEPHENS COUNTY HOSPITAL,163 HOSPITAL DRIVE,,,TOCCOA,GA,30577,STEPHENS,7062824250,Acute Care Hospitals,Government - Hospital District or Authority,"Yes",87,2168,9945,109726
110035,WELLSTAR KENNESTONE HOSPITAL,677 CHURCH STREET,,,MARIETTA,GA,30060,COBB,7707935000,Acute Care Hospitals,Voluntary non-profit - Other,"Yes",572,36821,179279,3404234
110039,TRINITY HOSPITAL OF AUGUSTA,2260 WRIGHTSBORO RD,,,AUGUSTA,GA,30904,RICHMOND,7064817000,Acute Care Hospitals,Proprietary,"Yes",156,3855,14605,329321
110040,NORTHRIDGE MEDICAL CENTER,70 MEDICAL CENTER DRIVE,,,COMMERCE,GA,30529,JACKSON,7063351100,Acute Care Hospitals,Government - Hospital District or Authority,"Yes",239,864,3068,57759
110042,WELLSTAR PAULDING HOSPITAL,600 W MEMORIAL DR,,,DALLAS,GA,30132,PAULDING,7704454411,Acute Care Hospitals,Voluntary non-profit - Other,"Yes",238,4546,14674,467549
110044,PHOEBE SUMTER MEDICAL CENTER,126 HIGHWAY 280 W,,,AMERICUS,GA,31719,SUMTER,2299311280,Acute Care Hospitals,Government - Hospital District or Authority,"Yes",54,2920,10905,185838
110045,BARROW REGIONAL MEDICAL CENTER,316 NORTH BROAD STREET,,,WINDER,GA,30680,BARROW,7703075210,Acute Care Hospitals,Proprietary,"Yes",50,2048,6544,210669
110050,MURRAY MEDICAL CENTER,"""707 OLD DALTON ELLIJAY ROAD"," PO BOX 1406""",,,CHATSWORTH,GA,30705,MURRAY,7065172031,Acute Care Hospitals,Voluntary non-profit - Private,29,286,746,39138
110051,UNION GENERAL HOSPITAL,35 HOSPITAL ROAD,,,BLAIRSVILLE,GA,30512,UNION,7067452111,Acute Care Hospitals,Government - Hospital District or Authority,"Yes",189,1851,6512,121077
110054,FLOYD MEDICAL CENTER,304 TURNER MCCALL BLVD P O BOX 233,,,ROME,GA,30162,FLOYD,7065096900,Acute Care Hospitals,Government - Hospital District or Authority,"Yes",299,12176,61313,1154101
110069,HOUSTON MEDICAL CENTER,1601 WATSON BOULEVARD,,,WARNER ROBINS,GA,31093,HOUSTON,4789224281,Acute Care Hospitals,Voluntary non-profit - Private,"Yes",237,14458,67227,647276
110071,APPLING HOSPITAL,163 E TOLLISON STREET,,,BAXLEY,GA,31513,APPLING,9123679841,Acute Care Hospitals,Government - Hospital District or Authority,"Yes",163,781,3245,66633
110073,DORMINY MEDICAL CENTER,"""200 PERRY HOUSE ROAD"," BOX 1447""",,,FITZGERALD,GA,31750,BEN HILL,2294247100,Acute Care Hospitals,Government - Hospital District or Authority,49,1308,3412,71073
110074,ATHENS REGIONAL MEDICAL CENTER,1199 PRINCE AVENUE,,,ATHENS,GA,30606,CLARKE,7064757000,Acute Care Hospitals,Voluntary non-profit - Other,"Yes",331,18501,86915,1441500
110075,EAST GEORGIA REGIONAL MEDICAL CENTER,1499 FAIR ROAD,,,STATESBORO,GA,30458,BULLOCH,9124861500,Acute Care Hospitals,Proprietary,"Yes",149,7623,32272,847845
110078,EMORY UNIVERSITY HOSPITAL MIDTOWN,550 PEACHTREE ST NE,,,ATLANTA,GA,30308,FULTON,4046864411,Acute Care Hospitals,Voluntary non-profit - Private,"Yes",459,21584,134866,1846276
110079,GRADY MEMORIAL HOSPITAL,"""80 JESSE HILL"," JR DRIVE SE""",,,ATLANTA,GA,30303,FULTON,4046164252,Acute Care Hospitals,Voluntary non-profit - Other,910,27560,169532,3292533
110086,WASHINGTON COUNTY REGIONAL MEDICAL CENTER,610 SPARTA ROAD,,,SANDERSVILLE,GA,31082,WASHINGTON,4782402100,Acute Care Hospitals,Government - Hospital District or Authority,"Yes",116,804,2682,48740
110089,COFFEE REGIONAL MEDICAL CENTER,1101 OCILLA ROAD,,,DOUGLAS,GA,31533,COFFEE,2293841900,Acute Care Hospitals,Government - Hospital District or Authority,"Yes",86,4665,18663,301078
110091,ROCKDALE MEDICAL CENTER,"""1412 MILSTEAD AVENUE"," NE""",,,CONYERS,GA,30012,ROCKDALE,7709183000,Acute Care Hospitals,Proprietary,145,9163,40373,677986
110092,DODGE COUNTY HOSPITAL,901 GRIFFIN AVE,,,EASTMAN,GA,31023,DODGE,4784484067,Acute Care Hospitals,Government - Hospital District or Authority,"Yes",55,1546,5968,67144
110095,TIFT REGIONAL MEDICAL CENTER,901 E 18TH STREET,,,TIFTON,GA,31793,TIFT,2293827120,Acute Care Hospitals,Government - Hospital District or Authority,"Yes",191,9073,42748,946572
110100,JEFFERSON HOSPITAL,1067 PEACHTREE ST,,,LOUISVILLE,GA,30434,JEFFERSON,4786257000,Acute Care Hospitals,Government - Hospital District or Authority,"Yes",37,694,2377,22941
110104,CRISP REGIONAL HOSPITAL,902 7TH STREET NORTH,,,CORDELE,GA,31015,CRISP,2292763100,Acute Care Hospitals,Government - Hospital District or Authority,"Yes",208,3043,12834,194534
110105,COLQUITT REGIONAL MEDICAL CENTER,3131 THOMASVILLE HWY BOX 40,,,MOULTRIE,GA,31768,COLQUITT,2299853420,Acute Care Hospitals,Government - Hospital District or Authority,"Yes",100,4599,20591,299084
110109,EMANUEL MEDICAL CENTER,117 KITE ROAD,,,SWAINSBORO,GA,30401,EMANUEL,4782891304,Acute Care Hospitals,Government - Hospital District or Authority,"Yes",209,8321,36930,1159220
110113,BURKE MEDICAL CENTER,351 LIBERTY STREET,,,WAYNESBORO,GA,30830,BURKE,7065544435,Acute Care Hospitals,Proprietary,"Yes",40,334,1145,23007
110122,SOUTH GEORGIA MEDICAL CENTER,"""2501 NORTH PATTERSON STREET"," PO BOX 1727""",,,VALDOSTA,GA,31603,LOWNDES,2293331020,Acute Care Hospitals,Government - Hospital District or Authority,321,13508,65673,922481
110124,WAYNE MEMORIAL HOSPITAL,865 SOUTH FIRST STREET,,,JESUP,GA,31545,WAYNE,9125303302,Acute Care Hospitals,Government - Hospital District or Authority,"Yes",115,2619,10512,133033
110125,FAIRVIEW PARK HOSPITAL,200 INDUSTRIAL BOULEVARD,,,DUBLIN,GA,31021,LAURENS,4782743100,Acute Care Hospitals,Proprietary,"Yes",162,7131,27764,606130
110128,MEADOWS REGIONAL MEDICAL CENTER,ONE MEADOWS PARKWAY,,,VIDALIA,GA,30474,TOOMBS,9125355828,Acute Care Hospitals,Voluntary non-profit - Other,"Yes",65,4479,17698,526647
110130,IRWIN COUNTY HOSPITAL,710 N IRWIN AVENUE,,,OCILLA,GA,31774,IRWIN,2294683845,Acute Care Hospitals,Government - Hospital District or Authority,"Yes",64,1530,3702,38229
110132,MEMORIAL HOSPITAL AND MANOR,1500 E SHOTWELL STREET,,,BAINBRIDGE,GA,39819,DECATUR,2292463500,Acute Care Hospitals,Government - Hospital District or Authority,"Yes",187,1833,7076,102269
110135,TAYLOR REGIONAL HOSPITAL,222 PERRY HWY,,,HAWKINSVILLE,GA,31036,PULASKI,4787830200,Acute Care Hospitals,Voluntary non-profit - Private,"Yes",157,1164,4224,69500
110142,EVANS MEMORIAL HOSPITAL,200 N RIVER STREET,,,CLAXTON,GA,30417,EVANS,9127395105,Acute Care Hospitals,Government - Hospital District or Authority,"Yes",49,718,2441,45377
110143,WELLSTAR COBB HOSPITAL,3950 AUSTELL RD,,,AUSTELL,GA,30106,COBB,7707324000,Acute Care Hospitals,Voluntary non-profit - Other,"Yes",370,20260,96309,1479986
110150,OCONEE REGIONAL MEDICAL CENTER,821 N COBB STREET  POST OFFICE BOX 690,,,MILLEDGEVILLE,GA,31061,BALDWIN,4784543550,Acute Care Hospitals,Voluntary non-profit - Private,"Yes",118,3073,14651,190006
110153,PERRY HOSPITAL,1120 MORNINGSIDE DR,,,PERRY,GA,31069,HOUSTON,4789873600,Acute Care Hospitals,Voluntary non-profit - Private,"Yes",39,1530,6831,90122
110164,COLISEUM MEDICAL CENTER,350 HOSPITAL DRIVE,,,MACON,GA,31217,BIBB,4787654100,Acute Care Hospitals,Voluntary non-profit - Private,"Yes",281,10309,48237,919077
110165,SOUTHERN REGIONAL MEDICAL CENTER,"""11 UPPER RIVERDALE ROAD"," SW""",,,RIVERDALE,GA,30274,CLAYTON,7709918160,Acute Care Hospitals,Voluntary non-profit - Private,264,10983,57138,674225
110168,REDMOND REGIONAL MEDICAL CENTER,501 REDMOND ROAD,,,ROME,GA,30165,FLOYD,7068023012,Acute Care Hospitals,Proprietary,"Yes",199,9344,41728,984133
110177,DOCTORS HOSPITAL,3651 WHEELER ROAD,,,AUGUSTA,GA,30909,RICHMOND,7066516008,Acute Care Hospitals,Proprietary,"Yes",46,6384,30579,703528
110184,WELLSTAR DOUGLAS HOSPITAL,8954 HOSPITAL DRIVE,,,DOUGLASVILLE,GA,30134,DOUGLAS,7709491500,Acute Care Hospitals,Voluntary non-profit - Private,"Yes",102,6914,26256,588779
110187,CHESTATEE REGIONAL HOSPITAL,227 MOUNTAIN DR,,,DAHLONEGA,GA,30533,LUMPKIN,7068646136,Acute Care Hospitals,Proprietary,"Yes",48,564,2560,56892
110189,FANNIN REGIONAL HOSPITAL,2855 OLD HIGHWAY 5 NORTH,,,BLUE RIDGE,GA,30513,FANNIN,7066323711,Acute Care Hospitals,Proprietary,"Yes",50,1418,4050,153296
110191,PIEDMONT HENRY HOSPITAL,1133 EAGLE'S LANDING PARKWAY,,,STOCKBRIDGE,GA,30281,HENRY,6786041000,Acute Care Hospitals,Government - Hospital District or Authority,"Yes",277,15149,59379,1041660
110201,COLISEUM NORTHSIDE HOSPITAL,400 CHARTER BOULEVARD,,,MACON,GA,31210,BIBB,4787575990,Acute Care Hospitals,Proprietary,"Yes",60,2521,9020,279348
110209,TURNING POINT HOSPITAL,3015 VETERANS PARKWAY,,,MOULTRIE,GA,31788,COLQUITT,2299854815,Acute Care Hospitals,Proprietary,"No",69,2521,9841,55721
110215,PIEDMONT FAYETTE HOSPITAL,1255 HIGHWAY 54 WEST,,,FAYETTEVILLE,GA,30214,FAYETTE,7707197071,Acute Care Hospitals,Voluntary non-profit - Private,"No",172,15412,60097,1184049
